snapped_at,price,market_cap,total_volume
2021-05-27 00:00:00 UTC,0.999310381,60846903801,1.23159E+11
2021-05-28 00:00:00 UTC,0.999275728,61056295405,1.08509E+11
2021-05-29 00:00:00 UTC,1.000630746,61346578033,1.21041E+11
2021-05-30 00:00:00 UTC,0.9991616,61416977214,1.11549E+11
2021-05-31 00:00:00 UTC,0.998048695,61799686629,95498961357
2021-06-01 00:00:00 UTC,0.997550375,61813544731,1.06333E+11
2021-06-02 00:00:00 UTC,1.002337162,62110159632,1.05833E+11
2021-06-03 00:00:00 UTC,0.999472739,61905332784,97323504110
2021-06-04 00:00:00 UTC,1.000328979,61834495648,86892392429
2021-06-05 00:00:00 UTC,1.000645329,62160346215,1.00628E+11
2021-06-06 00:00:00 UTC,1.001008706,62319635038,81173603489
2021-06-07 00:00:00 UTC,1.002578234,62589210931,60531968485
2021-06-08 00:00:00 UTC,1.000276265,62445503052,76174863844
2021-06-09 00:00:00 UTC,1.002422628,62613679392,1.06419E+11
2021-06-10 00:00:00 UTC,1.001749091,62667272868,1.00067E+11
2021-06-11 00:00:00 UTC,1.003980992,63018063099,79669972988
2021-06-12 00:00:00 UTC,1.000683117,62813263302,66514923299
2021-06-13 00:00:00 UTC,1.004268765,63041668654,69548566118
2021-06-14 00:00:00 UTC,0.999425139,62737616333,66539632554
2021-06-15 00:00:00 UTC,1.001118959,62843943664,72213893676
2021-06-16 00:00:00 UTC,1.002881877,62955531640,65068923450
2021-06-17 00:00:00 UTC,0.998502369,62680833590,63640379590
2021-06-18 00:00:00 UTC,1.002919413,62915990239,59354282651
2021-06-19 00:00:00 UTC,1.000877119,62781866044,61477956089
2021-06-20 00:00:00 UTC,1.004211467,63022640616,50151966978
2021-06-21 00:00:00 UTC,1.001195365,62833355064,62168327233
2021-06-22 00:00:00 UTC,0.997209347,62433331566,89774922720
2021-06-23 00:00:00 UTC,1.004533211,62958009950,1.0316E+11
2021-06-24 00:00:00 UTC,1.002821211,63059140319,76191360476
