Date,Price,Open,High,Low,Vol.,Change %
2021-08-09,66.79,66.79,66.79,66.79,,-3.44%
2021-08-06,69.17,69.17,69.17,69.17,,-0.83%
2021-08-05,69.75,69.75,69.75,69.75,,-0.56%
2021-08-04,70.14,70.14,70.14,70.14,,-0.65%
2021-08-03,70.6,70.6,70.6,70.6,,-1.16%
2021-08-02,71.43,71.43,71.43,71.43,,-3.43%
2021-07-30,73.97,73.97,73.97,73.97,,1.01%
2021-07-29,73.23,73.23,73.23,73.23,,1.09%
2021-07-28,72.44,72.44,72.44,72.44,,0.10%
2021-07-27,72.37,72.37,72.37,72.37,,0.81%
2021-07-26,71.79,71.79,71.79,71.79,,-0.24%
2021-07-23,71.96,71.96,71.96,71.96,,1.84%
2021-07-22,70.66,70.66,70.66,70.66,,1.51%
2021-07-21,69.61,69.61,69.61,69.61,,3.51%
2021-07-20,67.25,67.25,67.25,67.25,,-0.06%
2021-07-19,67.29,67.29,67.29,67.29,,-6.53%
2021-07-16,71.99,71.99,71.99,71.99,,-1.32%
2021-07-15,72.95,72.95,72.95,72.95,,-2.20%
2021-07-14,74.59,74.59,74.59,74.59,,0.34%
2021-07-13,74.34,74.34,74.34,74.34,,0.08%
2021-07-12,74.28,74.28,74.28,74.28,,-0.71%
2021-07-09,74.81,74.81,74.81,74.81,,3.97%
2021-07-08,71.95,71.95,71.95,71.95,,0.84%
2021-07-07,71.35,71.35,71.35,71.35,,-2.89%
2021-07-06,73.47,73.47,73.47,73.47,,-2.66%
2021-07-05,75.48,75.48,75.48,75.48,,0.84%
2021-07-02,74.85,74.85,74.85,74.85,,0.25%
2021-07-01,74.66,74.66,74.66,74.66,,-0.33%
2021-06-30,74.91,74.91,74.91,74.91,,2.02%
2021-06-29,73.43,73.43,73.43,73.43,,0.07%
2021-06-28,73.38,73.38,73.38,73.38,,-1.12%
2021-06-25,74.21,74.21,74.21,74.21,,0.54%
2021-06-24,73.81,73.81,73.81,73.81,,0.07%
2021-06-23,73.76,73.76,73.76,73.76,,1.15%
2021-06-22,72.92,72.92,72.92,72.92,,1.29%
2021-06-21,71.99,71.99,71.99,71.99,,1.08%
2021-06-18,71.22,71.22,71.22,71.22,,0.28%
2021-06-17,71.02,71.02,71.02,71.02,,-2.10%
2021-06-16,72.54,72.54,72.54,72.54,,1.87%
2021-06-15,71.21,71.21,71.21,71.21,,0.68%
2021-06-14,70.73,70.73,70.73,70.73,,1.03%
2021-06-11,70.01,70.01,70.01,70.01,,0.50%
2021-06-10,69.66,69.66,69.66,69.66,,0.23%
2021-06-09,69.5,69.5,69.5,69.5,,0.87%
2021-06-08,68.9,68.9,68.9,68.9,,-0.98%
2021-06-07,69.58,69.58,69.58,69.58,,-0.32%
2021-06-04,69.8,69.8,69.8,69.8,,1.34%
2021-06-03,68.88,68.88,68.88,68.88,,-0.04%
2021-06-02,68.91,68.91,68.91,68.91,,0.15%
2021-06-01,68.81,68.81,68.81,68.81,,1.58%
2021-05-28,67.74,67.74,67.74,67.74,,0.56%
2021-05-27,67.36,67.36,67.36,67.36,,0.12%
2021-05-26,67.28,67.28,67.28,67.28,,0.37%
2021-05-25,67.03,67.03,67.03,67.03,,0.59%
2021-05-24,66.64,66.64,66.64,66.64,,2.13%
2021-05-21,65.25,65.25,65.25,65.25,,0.60%
2021-05-20,64.86,64.86,64.86,64.86,,0.06%
2021-05-19,64.82,64.82,64.82,64.82,,-4.76%
2021-05-18,68.06,68.06,68.06,68.06,,0.22%
2021-05-17,67.91,67.91,67.91,67.91,,0.59%
2021-05-14,67.51,67.51,67.51,67.51,,1.81%
2021-05-13,66.31,66.31,66.31,66.31,,-3.24%
2021-05-12,68.53,68.53,68.53,68.53,,2.73%
2021-05-11,66.71,66.71,66.71,66.71,,0.42%
2021-05-10,66.43,66.43,66.43,66.43,,-0.36%
2021-05-07,66.67,66.67,66.67,66.67,,-0.69%
2021-05-06,67.13,67.13,67.13,67.13,,-1.91%
2021-05-05,68.44,68.44,68.44,68.44,,1.81%
2021-05-04,67.22,67.22,67.22,67.22,,2.33%
2021-05-03,65.69,65.69,65.69,65.69,,0.00%
2021-04-30,65.69,65.69,65.69,65.69,,-0.39%
2021-04-29,65.95,65.95,65.95,65.95,,0.78%
2021-04-28,65.44,65.44,65.44,65.44,,2.78%
2021-04-27,63.67,63.67,63.67,63.67,,0.22%
