Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
"Monmouth County (Northeast)--Red Bank, Northeast Middletown PUMA; New Jersey",4030,0,170,308,228,294,0,3030,0,0,0,0,0,0
"Union County (Southeast)--Linden, Rahway & Roselle PUMA; New Jersey",4139,0,1671,348,224,921,52,0,148,0,0,0,0,775
Somerset County (South) PUMA; New Jersey,1964,0,203,301,223,1237,0,0,0,0,0,0,0,0
Erie County (West Central)--Buffalo City (East) PUMA; New York,266,0,0,9,212,0,0,0,0,0,0,45,0,0
"Monmouth County (Southeast)--Long Branch, Asbury Park & Eatontown PUMA; New Jersey",3056,0,1048,482,208,220,0,813,0,0,0,85,0,200
Union County (Northwest)--Summit & Cranford PUMA; New Jersey,4768,0,416,851,208,2786,244,0,0,0,0,168,0,95
"Somerset County (Central)--Bridgewater, Somerville & North Plainfield PUMA; New Jersey",1282,0,400,89,204,589,0,0,0,0,0,0,0,0
Ocean County (South) PUMA; New Jersey,280,0,68,15,197,0,0,0,0,0,0,0,0,0
Suffolk County (Central)--Islip Town (East) PUMA; New York,1644,0,517,0,194,933,0,0,0,0,0,0,0,0
"Hudson County (North)--West New York, Secaucus & North Bergen PUMA; New Jersey",14721,0,1664,10374,184,361,539,1599,0,0,0,0,0,0
Middlesex County (Southwest) PUMA; New Jersey,3387,0,585,1468,184,1150,0,0,0,0,0,0,0,0
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes PUMA; New Jersey",3494,0,1279,866,140,949,0,260,0,0,0,0,0,0
"Chenango, Delaware Counties & Broome County outside Greater Binghamton City PUMA; New York",616,0,452,0,140,24,0,0,0,0,0,0,0,0
Lower Connecticut River Valley PUMA; Connecticut,136,0,0,0,136,0,0,0,0,0,0,0,0,0
Naugatuck Valley South PUMA; Connecticut,485,0,0,0,131,354,0,0,0,0,0,0,0,0
Northwest Hills PUMA; Connecticut,1097,0,744,105,114,64,0,0,0,0,0,70,0,0
Mercer County (North)--Princeton Borough PUMA; New Jersey,2077,0,331,0,114,1632,0,0,0,0,0,0,0,0
