state,year,quarter,pi_nt,pi_t,pi
California,1998,4,0.20971958,0.029022155,0.20455652
California,1999,1,1.3975179,1.9179151,1.6655784
California,1999,2,1.558452,2.9671829,2.1585722
California,1999,3,2.432735,3.2612555,2.7821336
California,1999,4,2.6961513,3.0204711,2.8614509
California,2000,1,3.4813497,2.1602025,3.0770805
California,2000,2,3.9213228,1.5070899,3.149586
California,2000,3,4.5643458,1.9741447,3.8162725
California,2000,4,4.3682752,2.3905115,3.8154373
California,2001,1,5.5248914,1.7887062,4.3735723
California,2001,2,4.92349,2.2362881,4.0620089
California,2001,3,4.1871128,1.4676663,3.0859656
California,2001,4,4.0424666,0.39359248,2.622792
California,2002,1,3.2833469,1.1100101,2.1443939
California,2002,2,4.1449671,0.94945556,2.7479084
California,2002,3,4.3160634,0.84152693,2.9805436
California,2002,4,5.0384979,1.6926104,3.8312044
California,2003,1,4.6164217,1.9776684,3.8877497
California,2003,2,3.5311217,1.3183948,2.8958023
California,2003,3,2.7051628,1.7702478,2.5505545
California,2003,4,1.6614696,1.7639931,1.8430808
California,2004,1,1.0599909,1.2818674,1.2279788
California,2004,2,1.0731884,1.8797966,1.4083511
California,2004,3,2.0411887,1.0428209,1.7560247
California,2004,4,3.3797202,1.4075271,2.7985792
California,2005,1,3.9033804,0.67504209,2.9359412
California,2005,2,4.6833549,0.8054809,3.5500491
California,2005,3,4.5883899,1.8453379,3.8367355
California,2005,4,4.6733336,1.5379889,3.8108354
California,2006,1,5.5216179,1.9073498,4.5820794
California,2006,2,5.0035181,2.0376878,4.22508
California,2006,3,4.3759108,1.7040793,3.6727331
California,2006,4,3.4962931,0.78174067,2.691848
California,2007,1,2.4181283,1.6248565,2.1476252
California,2007,2,2.3503911,1.4343425,2.067822
California,2007,3,2.4676461,0.78711396,1.9349248
California,2007,4,2.4784405,2.2923698,2.4408638
California,2008,1,2.6901691,2.2054424,2.5372839
California,2008,2,3.4509048,3.1556883,3.4282045
California,2008,3,3.7096579,4.590909,4.1054692
California,2008,4,2.3952584,1.9570407,2.2622037
California,2009,1,1.2135378,0.60172653,0.99546146
California,2009,2,0.6275804,-0.11207297,0.24708657
California,2009,3,1.0273972,-0.28144711,0.43358254
